date,product_id,units_sold,base_price,release_date,lifecycle,category,current_price
2024-01-01,iPhone15,26,799,2023-09-01,Decline,Smartphones,769.76
2024-01-02,iPhone15,27,799,2023-09-01,Decline,Smartphones,769.52
2024-01-03,iPhone15,29,799,2023-09-01,Decline,Smartphones,769.28
2024-01-04,iPhone15,30,799,2023-09-01,Decline,Smartphones,769.04
2024-01-05,iPhone15,32,799,2023-09-01,Decline,Smartphones,768.8
2024-01-06,iPhone15,32,799,2023-09-01,Decline,Smartphones,768.56
2024-01-07,iPhone15,31,799,2023-09-01,Decline,Smartphones,768.32
2024-01-08,iPhone15,27,799,2023-09-01,Decline,Smartphones,806.48
2024-01-09,iPhone15,28,799,2023-09-01,Decline,Smartphones,729.45
2024-01-10,iPhone15,30,799,2023-09-01,Decline,Smartphones,767.6
2024-01-11,iPhone15,28,799,2023-09-01,Decline,Smartphones,728.99
2024-01-12,iPhone15,32,799,2023-09-01,Decline,Smartphones,767.12
2024-01-13,iPhone15,32,799,2023-09-01,Decline,Smartphones,766.88
2024-01-14,iPhone15,33,799,2023-09-01,Decline,Smartphones,766.64
2024-01-15,iPhone15,28,799,2023-09-01,Decline,Smartphones,766.4
2024-01-16,iPhone15,28,799,2023-09-01,Decline,Smartphones,766.16
2024-01-17,iPhone15,28,799,2023-09-01,Decline,Smartphones,804.22
2024-01-18,iPhone15,27,799,2023-09-01,Decline,Smartphones,765.68
2024-01-19,iPhone15,33,799,2023-09-01,Decline,Smartphones,803.71
2024-01-20,iPhone15,31,799,2023-09-01,Decline,Smartphones,765.2
2024-01-21,iPhone15,34,799,2023-09-01,Decline,Smartphones,764.96
2024-01-22,iPhone15,25,799,2023-09-01,Decline,Smartphones,764.72
2024-01-23,iPhone15,30,799,2023-09-01,Decline,Smartphones,764.48
2024-01-24,iPhone15,29,799,2023-09-01,Decline,Smartphones,726.03
2024-01-25,iPhone15,31,799,2023-09-01,Decline,Smartphones,802.2
2024-01-26,iPhone15,33,799,2023-09-01,Decline,Smartphones,725.58
2024-01-27,iPhone15,34,799,2023-09-01,Decline,Smartphones,725.35
2024-01-28,iPhone15,30,799,2023-09-01,Decline,Smartphones,763.28
2024-01-29,iPhone15,24,799,2023-09-01,Decline,Smartphones,801.2
2024-01-30,iPhone15,25,799,2023-09-01,Decline,Smartphones,800.95
2024-01-31,iPhone15,24,799,2023-09-01,Decline,Smartphones,762.57
2024-02-01,iPhone15,26,799,2023-09-01,Decline,Smartphones,800.44
2024-02-02,iPhone15,28,799,2023-09-01,Decline,Smartphones,723.98
2024-02-03,iPhone15,29,799,2023-09-01,Decline,Smartphones,761.85
2024-02-04,iPhone15,30,799,2023-09-01,Decline,Smartphones,761.61
2024-02-05,iPhone15,27,799,2023-09-01,Decline,Smartphones,761.37
2024-02-06,iPhone15,27,799,2023-09-01,Decline,Smartphones,723.07
2024-02-07,iPhone15,26,799,2023-09-01,Decline,Smartphones,798.93
2024-02-08,iPhone15,24,799,2023-09-01,Decline,Smartphones,722.62
2024-02-09,iPhone15,29,799,2023-09-01,Decline,Smartphones,798.43
2024-02-10,iPhone15,30,799,2023-09-01,Decline,Smartphones,798.18
2024-02-11,iPhone15,30,799,2023-09-01,Decline,Smartphones,759.93
2024-02-12,iPhone15,28,799,2023-09-01,Decline,Smartphones,759.69
2024-02-13,iPhone15,26,799,2023-09-01,Decline,Smartphones,759.45
2024-02-14,iPhone15,26,799,2023-09-01,Decline,Smartphones,759.21
2024-02-15,iPhone15,24,799,2023-09-01,Decline,Smartphones,721.02
2024-02-16,iPhone15,31,799,2023-09-01,Decline,Smartphones,720.79
2024-02-17,iPhone15,30,799,2023-09-01,Decline,Smartphones,720.57
2024-02-18,iPhone15,31,799,2023-09-01,Decline,Smartphones,758.25
2024-02-19,iPhone15,27,799,2023-09-01,Decline,Smartphones,758.01
2024-02-20,iPhone15,25,799,2023-09-01,Decline,Smartphones,757.77
2024-02-21,iPhone15,26,799,2023-09-01,Decline,Smartphones,757.53
2024-02-22,iPhone15,24,799,2023-09-01,Decline,Smartphones,719.43
2024-02-23,iPhone15,29,799,2023-09-01,Decline,Smartphones,757.05
2024-02-24,iPhone15,28,799,2023-09-01,Decline,Smartphones,756.81
2024-02-25,iPhone15,29,799,2023-09-01,Decline,Smartphones,756.57
2024-02-26,iPhone15,26,799,2023-09-01,Decline,Smartphones,756.33
2024-02-27,iPhone15,24,799,2023-09-01,Decline,Smartphones,756.09
2024-02-28,iPhone15,25,799,2023-09-01,Decline,Smartphones,755.85
2024-02-29,iPhone15,22,799,2023-09-01,Decline,Smartphones,755.61
2024-03-01,iPhone15,26,799,2023-09-01,Decline,Smartphones,717.61
2024-03-02,iPhone15,23,799,2023-09-01,Decline,Smartphones,755.13
2024-03-03,iPhone15,30,799,2023-09-01,Decline,Smartphones,754.9
2024-03-04,iPhone15,24,799,2023-09-01,Decline,Smartphones,754.66
2024-03-05,iPhone15,26,799,2023-09-01,Decline,Smartphones,792.14
2024-03-06,iPhone15,22,799,2023-09-01,Decline,Smartphones,754.18
2024-03-07,iPhone15,23,799,2023-09-01,Decline,Smartphones,791.63
2024-03-08,iPhone15,28,799,2023-09-01,Decline,Smartphones,791.38
2024-03-09,iPhone15,28,799,2023-09-01,Decline,Smartphones,753.46
2024-03-10,iPhone15,29,799,2023-09-01,Decline,Smartphones,753.22
2024-03-11,iPhone15,25,799,2023-09-01,Decline,Smartphones,752.98
2024-03-12,iPhone15,25,799,2023-09-01,Decline,Smartphones,752.74
